node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
TBC1D5,20.0,0.23866,9.0,9.0,4.569,3.0,0.25,72.0,3.47024,213.67891,2948.0,0.27778,
MAPK15,5.0,0.30898,3.0,4.0,4.16,1.0,0.25,71.83333,3.53571,6.07885,102.0,0.33333,
PGAM5,24.0,0.56839,4.0,4.0,4.854,1.0,0.25,70.25,3.47619,0.0,0.0,1.0,
FOXK2,1.0,0.0,1.0,1.0,1.756,1.0,0.2,57.56667,2.97619,0.0,0.0,0.0,
NUPR1,3.0,0.30779,2.0,3.0,3.068,1.0,0.25,70.75,3.5,2.20701,38.0,0.33333,
SUPT20H,2.0,0.0,1.0,2.0,2.471,1.0,0.25,69.41667,3.47024,0.22687,6.0,0.0,
HDAC10,121.0,0.64826,5.0,6.0,5.174,1.0,0.25,72.16667,3.5119,9.60812,66.0,0.66667,
DEPDC5,126.0,0.57059,6.0,6.0,6.125,1.0,0.25,71.83333,3.50595,1.3619,18.0,0.8,
DCN,24.0,0.56839,4.0,4.0,4.066,1.0,0.25,68.75,3.41071,0.0,0.0,1.0,
SUPT5H,3.0,0.0,1.0,3.0,2.065,1.0,0.25,60.5,3.10714,12.8261,48.0,0.0,
PIP4K2A,15.0,0.47366,4.0,7.0,5.141,1.0,0.25,74.16667,3.58929,20.41149,176.0,0.2381,
VPS29,18.0,0.38039,6.0,6.0,2.732,2.0,0.25,71.58333,3.49405,39.18454,380.0,0.53333,
SNF8,5040.0,0.76834,7.0,7.0,2.613,1.0,0.25,64.16667,3.18452,0.0,0.0,1.0,
CHMP3,5040.0,0.76834,7.0,7.0,3.053,1.0,0.25,64.16667,3.18452,0.0,0.0,1.0,
VPS37A,5760.0,0.71599,9.0,9.0,5.009,1.0,0.25,70.41667,3.41071,15.99036,316.0,0.83333,
VPS37B,5760.0,0.71599,9.0,9.0,4.499,1.0,0.25,70.41667,3.41071,15.99036,316.0,0.83333,
VPS4B,5045.0,0.54893,9.0,10.0,3.394,1.0,0.25,68.58333,3.33333,64.0558,322.0,0.51111,
CHMP2A,5868.0,0.50675,14.0,14.0,8.462,3.0,0.25,80.25,3.72024,147.11203,1982.0,0.49451,
GOLGA2,21.0,0.32929,7.0,8.0,5.274,1.0,0.25,77.5,3.69643,46.74441,488.0,0.32143,
ROCK1,3991801.0,0.83419,12.0,13.0,11.723,2.0,0.25,83.25,3.84524,26.18143,360.0,0.73077,
MET,3.59251944E8,0.85211,18.0,18.0,16.047,1.0,0.25,84.83333,3.84524,45.18019,596.0,0.75817,
EIF4G2,3.0,0.30779,2.0,3.0,4.071,1.0,0.2,66.7,3.33333,0.48571,4.0,0.33333,
PAFAH1B2,1.0,0.0,1.0,1.0,1.136,1.0,0.2,54.56667,2.82738,0.0,0.0,0.0,
TRIM17,3.0,0.30779,2.0,3.0,3.495,3.0,0.25,70.0,3.46429,37.53525,360.0,0.33333,
DRAM2,1.0,0.0,1.0,1.0,2.313,1.0,0.25,67.66667,3.39881,0.0,0.0,0.0,
CISD2,2.0,0.30779,2.0,2.0,2.472,1.0,0.25,68.75,3.42857,0.0,0.0,1.0,
NPC1,7.0,0.30898,3.0,6.0,4.148,1.0,0.25,74.83333,3.6131,47.10378,434.0,0.13333,
USP13,9.0,0.37893,4.0,5.0,4.848,2.0,0.25,73.75,3.58929,335.43587,2922.0,0.4,
TRIM21,126.0,0.57059,6.0,6.0,7.565,1.0,0.25,76.25,3.67262,0.44013,14.0,0.8,
TOMM40,69.0,0.38186,9.0,10.0,6.841,1.0,0.25,76.91667,3.64881,52.06798,384.0,0.35556,
BMF,122.0,0.52304,6.0,6.0,7.148,1.0,0.25,74.33333,3.60119,1.53813,26.0,0.73333,
ATP6V0A2,2.0,0.30779,2.0,2.0,3.061,1.0,0.25,65.08333,3.30952,0.0,0.0,1.0,
SYT11,8.0,0.37893,4.0,4.0,2.922,1.0,0.2,64.45,3.22619,2.81701,14.0,0.66667,
RAB39B,98.0,0.47733,9.0,9.0,6.651,1.0,0.25,77.08333,3.66667,29.0191,414.0,0.55556,
GBA,212.0,0.4242,11.0,11.0,7.062,2.0,0.25,80.75,3.77381,93.04913,1330.0,0.45455,
RAB8A,52.0,0.33919,10.0,10.0,5.084,1.0,0.25,75.5,3.59524,56.57597,506.0,0.37778,
MFSD8,1.0,0.0,1.0,1.0,1.155,1.0,0.2,51.1,2.57143,0.0,0.0,0.0,
ATP13A2,66.0,0.358,9.0,11.0,5.96,2.0,0.25,75.16667,3.56548,404.53446,4364.0,0.27273,
KAT5,403562.0,0.63062,14.0,14.0,12.198,2.0,0.25,82.66667,3.80357,32.49843,354.0,0.61538,
PLK3,24.0,0.56839,4.0,4.0,5.462,1.0,0.25,72.5,3.55357,0.0,0.0,1.0,
KDM4A,120.0,0.64826,5.0,5.0,6.127,1.0,0.25,72.5,3.54167,0.0,0.0,1.0,
IFI16,31.0,0.51861,5.0,6.0,6.424,2.0,0.25,73.33333,3.55952,334.31452,2842.0,0.53333,
SMG1,360.0,0.65858,7.0,7.0,8.31,1.0,0.25,78.41667,3.7381,1.00497,26.0,0.85714,
RAB1A,104.0,0.30405,14.0,14.0,7.057,3.0,0.25,81.33333,3.75595,452.5873,5214.0,0.2967,
CHMP2B,26078.0,0.44653,21.0,21.0,12.638,1.0,0.25,85.08333,3.80952,366.04112,4266.0,0.37619,
BAG3,7.9921824E7,0.71697,19.0,19.0,15.872,1.0,0.25,87.83333,3.94048,26.70702,646.0,0.62573,
VPS39,779.0,0.37042,13.0,14.0,9.292,3.0,0.25,82.08333,3.77976,269.27266,3312.0,0.31868,
